Address,Price,Links,Dates,Details
"6490 Simms Street Unit A, Arvada, CO 80004","$369,000 ",https://www.zillow.com/homedetails/6490-Simms-St-APT-A-Arvada-CO-80004/13718060_zpid/,3D Tour From 2023-08-24,"2 bds4 ba1,832 sqft"
"7957 Chase Circle Unit 189, Arvada, CO 80003","$299,900 ",https://www.zillow.com/homedetails/7957-Chase-Cir-APT-189-Arvada-CO-80003/13703642_zpid/,6 days on Zillow From 2023-08-24,2 bds1 ba800 sqft
"10282 W 69th Avenue, Arvada, CO 80004","$585,000 ",https://www.zillow.com/homedetails/10282-W-69th-Ave-Arvada-CO-80004/13717216_zpid/,6 days on Zillow From 2023-08-24,"4 bds2 ba1,920 sqft"
"8053 Lee Court, Arvada, CO 80005","$600,000 ",https://www.zillow.com/homedetails/8053-Lee-Ct-Arvada-CO-80005/13697700_zpid/,3D Tour From 2023-08-24,"3 bds3 ba1,992 sqft"
"Chicago Plan, Urban Collection at Haskins Station","$525,950+",https://www.zillow.com/community/urban-collection-at-haskins-station/2065697855_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,475 sqft"
"6282 Urban Court, Arvada, CO 80004","$579,000 ",https://www.zillow.com/homedetails/6282-Urban-Ct-Arvada-CO-80004/13722417_zpid/,6 days on Zillow From 2023-08-24,"3 bds2 ba2,016 sqft"
"Lot 15 (Parkside): The Aspen Plan, Sunrise Village at Arvada Overlook","$892,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789062_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"5 bds3 ba3,057 sqft"
"11673 W 75th Circle, Arvada, CO 80005","$810,000 ",https://www.zillow.com/homedetails/11673-W-75th-Cir-Arvada-CO-80005/13699886_zpid/,Open: Fri. 12-2pm From 2023-08-24,"4 bds4 ba2,897 sqft"
"6021 Pierson Court, Arvada, CO 80004","$699,900 ",https://www.zillow.com/homedetails/6021-Pierson-Ct-Arvada-CO-80004/13724495_zpid/,6 days on Zillow From 2023-08-24,"4 bds3 ba2,212 sqft"
"9442 Sierra Drive, Arvada, CO 80005","$625,000 ",https://www.zillow.com/homedetails/9442-Sierra-Dr-Arvada-CO-80005/13701499_zpid/,3D Tour From 2023-08-24,"3 bds3 ba3,045 sqft"
"6385 Oak Street Unit 103, Arvada, CO 80004","$350,000 ",https://www.zillow.com/homedetails/6385-Oak-St-APT-103-Arvada-CO-80004/13724204_zpid/,6 days on Zillow From 2023-08-24,2 bds2 ba890 sqft
"13881 W 64th Drive, Arvada, CO 80004","$719,900 ",https://www.zillow.com/homedetails/13881-W-64th-Dr-Arvada-CO-80004/13721466_zpid/,7 days on Zillow From 2023-08-24,"4 bds3 ba3,392 sqft"
"7931 W 55th Avenue Unit 312, Arvada, CO 80002","$535,000 ",https://www.zillow.com/homedetails/7931-W-55th-Ave-APT-312-Arvada-CO-80002/71029128_zpid/,7 days on Zillow From 2023-08-24,"2 bds2 ba1,179 sqft"
"6942 W 81st Avenue, Arvada, CO 80003","$620,000 ",https://www.zillow.com/homedetails/6942-W-81st-Ave-Arvada-CO-80003/13694804_zpid/,7 days on Zillow From 2023-08-24,"4 bds4 ba2,918 sqft"
"15345 W 64th Lane Unit 302, Arvada, CO 80007","$449,900 ",https://www.zillow.com/homedetails/15345-W-64th-Ln-UNIT-302-Arvada-CO-80007/295313935_zpid/,3D Tour From 2023-08-24,"2 bds2 ba1,326 sqft"
"19014 W 85th Bluff, Arvada, CO 80007","$815,000 ",https://www.zillow.com/homedetails/19014-W-85th-Blf-Arvada-CO-80007/123599011_zpid/,Open: Sat. 1-4pm From 2023-08-24,"4 bds3 ba3,938 sqft"
"12163 W 60th Place, Arvada, CO 80004","$590,000 ",https://www.zillow.com/homedetails/12163-W-60th-Pl-Arvada-CO-80004/13722581_zpid/,7 days on Zillow From 2023-08-24,"4 bds2 ba2,534 sqft"
"The Belford Plan, SaBell","$559,990+",https://www.zillow.com/community/sabell/2071552212_zpid/,Open: W: 10:00 AM-6:00 ... From 2023-08-24,"3 bds4 ba1,788 sqft"
"6186 Garrison Street, Arvada, CO 80004","$599,900 ",https://www.zillow.com/homedetails/6186-Garrison-St-Arvada-CO-80004/13725467_zpid/,7 days on Zillow From 2023-08-24,"5 bds3 ba2,080 sqft"
"Lots 3, 5, 7, and 9 (Overlook): The Aspen Plan, Sunrise Village at Arvada Overlook","$773,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789069_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,672 sqft"
"6956 Braun Court, Arvada, CO 80004","$730,000 ",https://www.zillow.com/homedetails/6956-Braun-Ct-Arvada-CO-80004/13720297_zpid/,7 days on Zillow From 2023-08-24,"4 bds3 ba2,224 sqft"
"6543 Gray Street, Arvada, CO 80003","$574,900 ",https://www.zillow.com/homedetails/6543-Gray-St-Arvada-CO-80003/13714335_zpid/,3D Tour From 2023-08-24,"4 bds2 ba2,378 sqft"
"11375 W 78th Drive, Arvada, CO 80005","$725,000 ",https://www.zillow.com/homedetails/11375-W-78th-Dr-Arvada-CO-80005/13700290_zpid/,"Price cut: $20,000 (Aug 23) From 2023-08-24","4 bds3 ba2,963 sqft"
"6906 Gardenia Court, Arvada, CO 80004","$809,000 ",https://www.zillow.com/homedetails/6906-Gardenia-Ct-Arvada-CO-80004/13720909_zpid/,Open: Sat. 10am-12pm From 2023-08-24,"4 bds3 ba3,377 sqft"
